REF_DATE,GEO,DGUID,Type of product,Type of storage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jul-70,Manitoba,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722346,5.1.1,0,,,,0
Jul-70,Manitoba,,Onions,Cold and common storage,Tonnes,288,units ,0,v722354,5.2.1,0,,,,0
Jul-70,Manitoba,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722362,5.3.1,0,,,,0
Jul-70,Manitoba,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722370,5.4.1,0,,,,0
Jul-70,Saskatchewan,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722347,6.1.1,0,,,,0
Jul-70,Saskatchewan,,Onions,Cold and common storage,Tonnes,288,units ,0,v722355,6.2.1,0,,,,0
Jul-70,Saskatchewan,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722363,6.3.1,0,,,,0
Jul-70,Saskatchewan,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722371,6.4.1,0,,,,0
Jul-70,Alberta,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722348,7.1.1,0,,,,0
Jul-70,Alberta,,Onions,Cold and common storage,Tonnes,288,units ,0,v722356,7.2.1,0,,,,0
Jul-70,Alberta,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722364,7.3.1,0,,,,0
Jul-70,Alberta,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722372,7.4.1,0,,,,0
Jul-70,British Columbia,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722349,8.1.1,0,,,,0
Jul-70,British Columbia,,Onions,Cold and common storage,Tonnes,288,units ,0,v722357,8.2.1,0,,,,0
Jul-70,British Columbia,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722365,8.3.1,0,,,,0
Jul-70,British Columbia,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722373,8.4.1,0,,,,0
